Transmission_BW (bps),Transmission_BW (kbps),ImgHeight,ImgWidth,Datasize,Tx_true,Datasize (bits),Tx_calc,Link_Utilization
512000,512,351,309,135021,3.015022334,1080168,2.109703125,0.699730513
512000,512,366,770,721296,12.58328041,5770368,11.27025,0.895652774
512000,512,480,640,821168,14.15284327,6569344,12.83075,0.906584617
512000,512,480,640,766240,13.26338228,6129920,11.9725,0.902673221
512000,512,480,640,633322,11.11332881,5066576,9.89565625,0.890431339
512000,512,960,1280,2188564,36.83817619,17508512,34.1963125,0.928284623
512000,512,960,1280,2559360,42.64968907,20474880,39.99,0.937638723
512000,512,960,1280,2533995,42.24398002,20271960,39.59367188,0.937261874
512000,512,960,1280,2706112,45.03103182,21648896,42.283,0.938974709
512000,512,960,1280,2519906,41.98894322,20159248,39.37353125,0.937711889
512000,512,960,1280,3442989,57.07685392,27543912,53.79670313,0.942530981
512000,512,960,1280,3118173,51.76542388,24945384,48.72145313,0.941196835
512000,512,877,1240,2470642,41.25026455,19765136,38.60378125,0.935843241
768000,768,576,768,1046140,12.26946475,8369120,10.89729167,0.888163574
768000,768,576,768,1046484,12.16644031,8371872,10.900875,0.895978998
768000,768,576,768,1052068,12.26602902,8416544,10.95904167,0.893446579
768000,768,800,1200,2485823,27.90789771,19886584,25.89398958,0.92783734
768000,768,619,1100,1629932,18.51454338,13039456,16.97845833,0.917033598
768000,768,400,620,558718,6.873914877,4469744,5.819979167,0.84667606
768000,768,533,800,861161,10.37465276,6889288,8.970427083,0.864648417
768000,768,898,1600,1517519,17.95447837,12140152,15.80748958,0.880420431
768000,768,1600,1200,2331418,26.20737454,18651344,24.28560417,0.926670626
768000,768,1500,1295,1710539,19.47461202,13684312,17.81811458,0.914940671
768000,768,1530,1530,2884168,32.27640268,23073344,30.04341667,0.930816763
768000,768,1530,1530,2249694,25.32044398,17997552,23.4343125,0.925509542
768000,768,1073,1600,1688157,19.22180377,13505256,17.58496875,0.914844879
768000,768,1600,1600,1245145,14.31543991,9961160,12.97026042,0.906032961
768000,768,1298,1600,2782693,31.07785314,22261544,28.98638542,0.93270231
768000,768,1595,1600,1554899,17.74671087,12439192,16.19686458,0.912668533
768000,768,1200,1600,2033663,22.93965455,16269304,21.18398958,0.923465937
768000,768,1200,1600,2165827,24.44009329,17326616,22.56069792,0.923101956
768000,768,903,1600,1593233,18.16576781,12745864,16.59617708,0.913596235
768000,768,1200,1600,1956028,22.08197234,15648224,20.37529167,0.922711584
768000,768,1068,1600,1828266,20.69304578,14626128,19.0444375,0.920330323
768000,768,1065,1600,2746640,30.74526663,21973120,28.61083333,0.930576849
768000,768,1600,1200,3214460,35.82284116,25715680,33.48395833,0.934709734
768000,768,1200,1600,1847500,20.95474166,14780000,19.24479167,0.918397944
768000,768,1095,1600,2296687,25.80141639,18373496,23.92382292,0.927229054
768000,768,1600,1550,2974053,33.15383403,23792424,30.97971875,0.934423413
768000,768,1600,1070,2053451,23.16397929,16427608,21.39011458,0.923421417
768000,768,1143,1600,1993508,22.45360028,15948064,20.76570833,0.924827559
768000,768,1200,1600,1926564,21.70567107,15412512,20.068375,0.924568282
768000,768,1200,1600,2821410,31.53141891,22571280,29.3896875,0.932076276
768000,768,1050,1600,2215286,24.93336839,17722288,23.07589583,0.925502542
768000,768,1180,1600,1885600,21.33540025,15084800,19.64166667,0.92061393
768000,768,1600,1280,2582799,28.96532789,20662392,26.90415625,0.928840038
768000,768,1600,1068,2111250,23.79302655,16890000,21.9921875,0.924312317
768000,768,938,1250,1162591,13.45532763,9300728,12.11032292,0.900039245
768000,768,1600,1070,1426464,16.36539079,11411712,14.859,0.907952654
768000,768,938,1250,1352544,15.55126039,10820352,14.089,0.905971583
768000,768,1065,1600,1469480,17.22106619,11755840,15.30708333,0.888858051
768000,768,1210,1600,2071394,23.34637429,16571152,21.57702083,0.924212923
768000,768,938,1250,1282401,14.75091842,10259208,13.35834375,0.905594036
768000,768,1600,1065,2676486,31.04403848,21411888,27.8800625,0.898081044
768000,768,1200,1600,2402644,26.94944015,19221152,25.02754167,0.928685031
768000,768,1200,1600,2092639,23.57016747,16741112,21.79832292,0.924826815
768000,768,1200,1600,1766842,20.06101022,14134736,18.40460417,0.917431573
768000,768,465,1600,1092545,12.61718103,8740360,11.38067708,0.901998399
768000,768,1250,1228,1653536,18.83280008,13228288,17.22433333,0.914592268
768000,768,1250,938,1413641,16.21165429,11309128,14.72542708,0.908323532
768000,768,898,1600,1901959,21.46575556,15215672,19.81207292,0.922961825
768000,768,1600,1068,1915446,21.59256957,15323568,19.9525625,0.924047619
768000,768,1600,1068,2144622,24.20253344,17156976,22.3398125,0.923036117
768000,768,1020,1600,2503272,28.03370637,20026176,26.07575,0.930157064
