Spec Type,CPU Load (%),datasize,imgHeight,imgWidth,T_p,,,,
1,0,906843,960,765,1.288145597,,,,
1,0,766240,480,640,0.814542628,,,,
1,0,2485823,800,1200,1.523153315,,,,
1,0,2470642,877,1240,1.633097775,,,,
1,0,1017275,548,822,0.964678398,,,,
1,0,721296,366,770,0.768533038,,,,
1,0,840644,845,960,1.353401958,,,,
1,0,1593233,903,1600,2.109065896,,,,
1,0,238233,429,640,0.746393089,,,,
1,0,922497,639,960,1.144308164,,,,
1,0,2388074,1600,1390,2.996252884,,,,
1,0,2165827,1200,1600,2.567166041,,,,
1,0,976410,720,960,1.239066939,,,,
1,0,861161,533,800,0.919430356,,,,
1,0,2053451,1600,1070,2.325307558,,,,
1,0,465161,480,640,0.796318015,,,,
1,0,872558,642,960,1.164092875,,,,
1,0,2414769,808,1600,1.872058719,,,,
1,0,2111250,1600,1068,2.329033318,,,,
1,0,2559360,960,1280,1.830869996,,,,
1,0,3118173,960,1280,1.846353433,,,,
1,0,2188564,960,1280,1.828953217,,,,
1,0,1426464,1600,1070,2.358109065,,,,
1,0,339513,387,462,0.651601911,,,,
1,0,2676486,1600,1065,2.328010017,,,,
1,0,1245145,1600,1600,3.255400223,,,,
1,0,1111809,720,960,1.213185028,,,,
1,0,2519906,960,1280,1.820361615,,,,
1,0,1956028,1200,1600,2.624269886,,,,
1,0,2215286,1050,1600,2.362826659,,,,
1,0,2033663,1200,1600,2.656809442,,,,
1,0,1517519,898,1600,2.034985005,,,,
1,0,3020157,1600,1200,2.617971744,,,,
1,0,991079,639,960,1.143483763,,,,
1,0,689807,576,720,0.919644445,,,,
1,0,441589,480,640,0.78738675,,,,
1,0,1469480,1065,1600,2.34083225,,,,
1,0,1052068,576,768,0.954451932,,,,
1,0,1901959,898,1600,2.064451347,,,,
1,0,1629932,619,1100,1.203168652,,,,
1,0,1828266,1068,1600,2.363416278,,,,
1,0,135021,351,309,0.589343654,,,,
1,0,1378276,1068,1600,2.341695783,,,,
1,0,3442989,960,1280,1.838866847,,,,
1,0,2746640,1065,1600,2.352296591,,,,
1,0,2706112,960,1280,1.822621699,,,,
1,0,2127391,1600,1200,2.610530187,,,,
1,0,2533995,960,1280,1.834429503,,,,
1,0,1092545,465,1600,1.306258749,,,,
1,0,1710539,1500,1295,2.594177329,,,,
1,0,299013,375,500,0.67484959,,,,
1,0,2782693,1298,1600,2.89818522,,,,
1,0,1766842,1200,1600,2.564118671,,,,
1,0,310825,375,500,0.661470546,,,,
1,0,939716,918,918,1.386603247,,,,
1,0,2821410,1200,1600,2.542095375,,,,
1,25,2974053,1600,1550,5.165798216,,,,
1,25,1282401,938,1250,2.157900461,,,,
1,25,1151338,720,960,1.287519195,,,,
1,25,2071394,1210,1600,3.072775156,,,,
1,25,558718,400,620,1.160853214,,,,
1,25,2884168,1530,1530,3.494887455,,,,
1,25,1993508,1143,1600,2.974223019,,,,
1,25,374013,333,500,0.710147098,,,,
1,25,221663,375,500,1.049206323,,,,
1,25,1352544,938,1250,1.859966968,,,,
1,25,1915446,1600,1068,3.024400549,,,,
1,25,1202040,639,960,1.314272777,,,,
